1
100 100
6 43 56
31 83 77
57 69 57
49 21 51
95 68 22
28 77 89
56 27 95
89 48 51
68 90 22
11 100 71
41 54 22
77 13 87
19 48 9
36 93 12
50 52 71
37 70 73
10 59 23
47 85 91
42 34 0
84 100 25
28 56 35
36 48 32
42 44 20
88 27 74
66 49 58
30 13 73
44 77 23
6 70 35
42 38 98
83 23 55
88 38 42
52 96 21
40 61 18
10 92 76
49 90 50
37 18 14
21 70 47
49 65 20
100 65 7
67 26 47
64 91 6
68 100 48
50 79 42
27 31 49
14 35 11
53 58 86
8 84 79
36 64 24
41 8 59
59 79 50
85 29 10
95 1 16
12 61 27
98 45 66
90 80 28
51 34 57
98 64 12
79 58 22
5 40 67
99 36 16
60 41 64
42 45 67
70 83 94
75 43 56
69 43 5
93 47 36
52 29 40
11 74 18
99 40 97
22 26 0
39 29 61
76 4 95
40 71 94
89 81 65
78 47 71
97 29 7
42 60 21
36 11 20
46 16 20
44 21 37
60 45 30
46 47 48
87 92 6
16 31 9
36 47 6
20 30 88
7 89 8
54 10 41
76 85 82
6 63 99
28 36 69
42 29 67
68 74 46
2 17 90
17 34 15
29 31 69
28 40 80
47 82 31
33 2 52
91 32 70
49 47 35
100 67 59
85 23 88
52 37 66
31 68 80
42 87 43
1 80 18
61 33 36
12 37 17
22 53 3
64 28 46
56 63 2
93 29 77
56 79 73
100 24 68
18 31 31
48 94 75
50 97 85
63 76 41
85 32 78
67 68 41
92 95 59
23 36 73
55 100 20
45 44 44
61 30 44
53 56 13
76 37 17
65 84 76
78 15 52
75 55 36
7 59 58
72 19 81
13 58 30
26 22 4
17 91 62
75 92 64
48 36 61
11 66 79
85 30 17
26 33 91
41 100 67
15 32 67
100 38 80
97 89 39
47 76 4
64 90 57
67 50 53
67 64 46
8 74 55
62 52 44
95 91 63
11 80 9
70 8 51
50 82 81
26 18 27
11 2 69
35 80 75
68 19 24
5 47 37
51 31 42
58 83 66
29 21 84
29 73 65
71 27 88
8 5 39
100 49 41
70 15 5
12 65 17
5 56 14
43 37 37
74 94 6
47 10 4
1 5 68
63 42 12
76 13 67
19 21 48
9 67 45
59 80 4
93 65 25
68 67 67
7 90 31
52 51 25
96 13 86
62 81 68
96 30 50
58 31 54
40 79 10
90 52 58
79 57 40
15 33 0
17 77 9
36 53 36
81 9 81
65 21 51
88 5 43
99 71 60
82 40 87
85 89 11
45 22 86
83 55 48
41 39 19
93 72 2
9 4 55
47 56 61
69 84 81
57 7 96
54 1 59
86 51 4
29 27 55
46 38 10
74 49 93
80 17 18
65 64 33
70 11 73
30 85 23
83 77 89
44 91 89
7 92 62
68 77 38
21 26 56
17 2 94
20 99 84
43 25 2
55 45 40
53 55 59
95 19 56
76 47 79
9 37 59
14 52 46
15 18 18
7 11 1
36 58 48
74 23 11
70 82 5
15 99 50
55 1 92
31 96 28
19 51 5
40 35 92
10 42 75
26 95 98
52 48 81
79 11 25
15 49 22
47 66 66
82 42 42
5 6 16
100 14 76
54 46 70
37 99 25
5 57 21
5 93 43
58 3 46
53 71 41
22 72 66
10 99 63
52 4 11
13 84 15
39 79 68
66 42 55
14 61 36
62 91 37
35 40 3
63 56 19
45 51 9
28 61 32
96 34 77
46 19 35
24 38 45
83 34 93
27 22 57
75 6 50
59 99 29
96 41 3
86 70 72
14 94 85
92 36 90
21 48 32
2 4 79
68 97 79
70 7 98
52 32 44
68 65 55
54 79 11
20 13 82
17 16 52
12 3 99
17 19 99
55 54 7
26 32 2
100 46 80
69 2 28
70 45 99
68 98 22
98 38 73
25 6 3
10 97 74
34 83 7
36 65 5
88 51 13
43 44 91
52 33 10
51 82 62
6 57 7
46 21 31
55 83 66
82 36 35
54 2 6
17 6 41
93 34 56
10 82 45
57 64 72
5 58 33
87 86 23
92 13 82
80 7 84
76 3 7
15 92 54
94 38 1
16 57 55
89 68 13
18 34 32
54 97 19
76 94 48
33 9 3
75 34 8
16 41 42
4 68 11
46 27 67
56 41 32
71 14 39
89 41 44
51 21 27
50 71 41
20 77 5
79 60 25
59 57 80
83 93 46
39 24 36
15 74 87
62 71 54
43 71 31
27 49 39
76 33 90
29 52 52
45 70 36
100 92 95
84 56 71
65 75 38
76 88 20
28 35 41
5 38 26
31 52 95
62 88 74
63 96 41
50 61 78
48 69 48
15 65 63
97 20 52
58 40 68
31 60 18
91 98 35
64 61 81
86 40 69
28 8 53
67 21 14
94 16 97
11 86 70
96 26 25
95 22 92
71 48 65
7 53 8
15 78 1
7 26 51
100 70 57
33 38 45
98 25 9
97 61 99
79 41 74
60 56 12
36 34 99
46 64 14
37 41 32
68 3 94
6 10 95
20 72 65
48 55 45
58 70 70
36 5 96
11 27 45
67 63 21
24 63 98
24 90 43
34 15 33
60 47 52
69 40 82
9 41 55
16 76 95
57 65 60
18 17 23
8 28 9
16 9 54
88 53 14
34 98 70
42 13 91
60 100 6
21 55 64
11 18 83
52 59 45
21 82 8
52 56 23
25 71 27
53 26 98
54 73 25
40 3 1
97 79 67
66 7 12
44 88 71
34 50 94
9 99 19
8 75 65
60 24 70
2 73 26
64 29 32
77 93 9
88 84 82
60 25 12
31 64 12
43 65 15
13 62 77
56 44 22
62 72 3
24 46 6
77 48 8
73 11 96
28 44 95
58 20 63
12 63 49
39 78 30
56 11 46
71 76 62
65 61 24
99 15 33
70 53 49
81 21 72
10 87 51
27 71 21
4 46 63
96 55 13
20 47 88
74 100 87
10 90 31
57 40 63
44 12 68
7 85 12
83 54 47
63 45 40
76 50 19
7 40 8
67 82 51
12 35 26
9 22 67
48 22 23
58 55 0
2 23 84
1 10 35
100 25 2
62 95 80
23 35 43
61 76 36
93 79 67
94 64 76
11 82 22
77 75 37
97 18 2
34 22 36
30 98 8
2 31 80
16 50 10
44 64 22
17 89 63
82 15 33
75 87 20
1 57 17
42 11 46
33 90 28
24 44 91
3 99 96
72 16 93
19 25 18
11 20 74
40 75 88
26 47 91
13 42 96
82 6 94
69 71 10
94 54 69
22 99 46
36 32 79
83 49 28
50 63 18
29 89 26
17 90 84
23 64 50
31 35 13
26 4 78
72 44 2
8 13 70
61 6 13
16 90 96
24 80 87
75 35 64
79 19 17
63 61 98
12 67 64
23 91 42
66 34 73
100 4 31
11 73 21
64 72 20
79 72 68
85 88 64
19 57 52
76 38 97
89 27 12
12 15 2
46 97 84
27 81 73
54 61 97
84 30 90
31 88 44
74 2 31
22 69 1
85 67 93
25 49 13
23 45 74
57 100 22
41 91 89
80 85 50
100 50 18
9 47 97
97 73 73
80 45 29
81 79 26
62 26 64
49 70 48
17 18 35
51 33 63
84 39 3
56 36 32
95 46 75
14 20 77
73 49 2
41 3 69
56 94 66
9 46 53
20 16 78
16 11 53
43 42 31
13 73 63
15 22 53
68 39 85
63 58 88
100 66 98
4 56 10
45 36 38
75 79 29
45 77 91
91 77 43
97 71 97
56 37 44
71 29 58
25 69 81
38 14 21
37 58 4
76 54 83
9 16 0
8 76 27
48 27 13
14 84 74
44 67 34
90 74 22
26 31 76
32 24 80
70 68 43
67 96 15
27 99 25
77 5 7
29 39 64
25 88 28
10 89 35
69 22 36
97 35 6
51 46 29
100 51 63
21 58 82
61 92 71
14 95 41
4 58 54
52 91 84
14 75 34
18 73 50
29 68 30
10 34 11
88 28 36
52 82 11
73 17 94
4 67 41
20 67 11
89 60 63
8 40 87
8 53 71
78 57 77
19 11 80
29 53 86
22 77 87
39 11 13
46 69 25
74 58 31
45 38 94
81 42 57
40 44 42
36 78 19
98 75 72
65 62 79
53 73 46
53 51 64
43 95 91
43 35 66
55 8 59
88 98 1
44 80 79
40 16 67
74 99 8
80 29 83
7 50 61
100 28 57
60 94 69
18 47 78
2 43 76
61 66 99
33 77 51
34 85 21
13 10 57
43 14 81
69 82 88
88 23 40
69 23 29
68 55 55
57 3 69
28 83 12
80 66 64
73 57 56
34 51 65
64 17 63
70 73 56
79 66 40
10 70 38
86 44 93
13 60 25
17 93 81
0 0 0
